City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zhezqazghan,47.7833,67.7667,285.47,58,0,5.0,KZ,1684887694
1,talnakh,69.4865,88.3972,272.71,94,67,4.23,RU,1684887974
2,edinburgh of the seven seas,-37.0676,-12.3116,286.56,64,76,12.14,SH,1684887974
3,chonchi,-42.6128,-73.8092,282.66,89,78,7.31,CL,1684887975
4,tiksi,71.6872,128.8694,268.53,82,24,1.5,RU,1684887976
5,alice springs,-23.7,133.8833,287.9,47,2,0.51,AU,1684887976
6,basco,20.4487,121.9702,299.78,78,96,5.81,PH,1684887761
7,challapata,-18.9,-66.7667,281.58,24,2,1.22,BO,1684887977
8,waitangi,-43.9535,-176.5597,286.94,87,1,2.24,NZ,1684887977
9,qaqortoq,60.7167,-46.0333,272.69,78,22,3.18,GL,1684887978
10,mejit,10.2753,170.8646,301.01,79,100,7.69,MH,1684887694
11,klyuchi,52.2667,79.1667,285.25,48,0,3.14,RU,1684887979
12,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,61,75,3.0,RU,1684887984
13,longyearbyen,78.2186,15.6401,275.06,80,75,8.75,SJ,1684887984
14,mamuju,-2.6748,118.8885,300.93,76,73,0.67,ID,1684887985
15,adamstown,-25.066,-130.1015,297.89,89,81,13.69,PN,1684887985
16,cromer,52.9312,1.2989,284.04,70,90,3.34,GB,1684887986
17,jamestown,42.097,-79.2353,293.8,60,0,2.06,US,1684887973
18,lompoc,34.6391,-120.4579,287.39,78,100,4.02,US,1684887986
19,laojunmiao,39.8333,97.7333,282.75,47,97,5.1,CN,1684887987
20,bethel,41.3712,-73.414,286.84,61,0,0.0,US,1684887887
21,rani,25.3503,73.3089,301.05,65,83,5.3,IN,1684887988
22,bredasdorp,-34.5322,20.0403,284.98,92,86,1.24,ZA,1684887988
23,albany,42.6001,-73.9662,291.78,57,21,0.45,US,1684887970
24,whitehorse,60.7161,-135.0538,291.47,22,75,1.54,CA,1684887989
25,tura,25.5198,90.2201,295.0,94,100,1.67,IN,1684887989
26,port-cartier,50.0334,-66.8654,278.3,85,47,2.87,CA,1684887990
27,saipan,15.1355,145.701,300.73,100,75,12.35,MP,1684887990
28,yellowknife,62.456,-114.3525,290.44,29,75,6.71,CA,1684887991
29,port-aux-francais,-49.35,70.2167,280.91,98,100,12.17,TF,1684887991
30,udachny,66.4167,112.4,276.18,74,64,5.85,RU,1684887991
31,flying fish cove,-10.4217,105.6791,298.97,83,75,3.09,CX,1684887992
32,ushuaia,-54.8,-68.3,277.96,93,100,5.14,AR,1684887992
33,olyokminsk,60.3736,120.4264,284.49,41,88,1.07,RU,1684887993
34,punta arenas,-53.15,-70.9167,275.77,75,89,4.13,CL,1684887817
35,hamilton,39.1834,-84.5333,297.42,55,20,4.63,US,1684887719
36,holualoa,19.6228,-155.9522,297.83,76,75,4.63,US,1684887994
37,smithers,54.7804,-127.1743,294.33,35,20,4.63,CA,1684887995
38,blackmans bay,-43.0167,147.3167,287.33,74,68,2.49,AU,1684887995
39,ilulissat,69.2167,-51.1,270.16,74,100,4.12,GL,1684887995
40,las tablas,7.7667,-80.2833,299.36,99,99,0.73,PA,1684887996
41,iskateley,67.6803,53.1512,286.68,66,66,3.57,RU,1684887996
42,portland,45.5234,-122.6762,290.92,52,75,2.57,US,1684887904
43,port mathurin,-19.6833,63.4167,298.16,60,15,5.3,MU,1684887997
44,broken hill,-31.95,141.4333,288.36,36,4,4.21,AU,1684887997
45,uturoa,-16.7333,-151.4333,300.01,78,66,5.6,PF,1684887998
46,tsiombe,-25.3,45.4833,289.35,74,1,0.93,MG,1684887998
47,puerto natales,-51.7236,-72.4875,273.72,93,89,1.45,CL,1684887999
48,selkirk,50.1436,-96.8845,292.06,44,99,7.88,CA,1684887879
49,invercargill,-46.4,168.35,282.79,67,77,3.44,NZ,1684887999
50,suances,43.4334,-4.0434,288.51,92,100,2.06,ES,1684888000
51,korsakov,46.6328,142.7813,283.06,75,0,4.46,RU,1684888000
52,mount isa,-20.7333,139.5,296.02,35,0,5.66,AU,1684888001
53,aripuana,-9.1667,-60.6333,300.13,71,100,0.64,BR,1684888001
54,camayenne,9.535,-13.6878,302.2,79,75,4.12,GN,1684888001
55,papatowai,-46.5619,169.4708,283.18,66,72,4.57,NZ,1684888002
56,lebu,-37.6167,-73.65,285.51,76,14,8.88,CL,1684888002
57,hawaiian paradise park,19.5933,-154.9731,299.51,75,75,3.6,US,1684888002
58,port elizabeth,-33.918,25.5701,281.31,87,0,2.57,ZA,1684888003
59,san patricio,28.017,-97.5169,301.7,66,18,5.86,US,1684888003
60,wailua homesteads,22.0669,-159.378,296.95,82,100,4.63,US,1684888004
61,kingsbridge,50.2845,-3.7764,284.14,86,77,2.86,GB,1684888004
62,belyy yar,53.6039,91.3903,287.09,38,0,5.0,RU,1684887974
63,zhangatas,43.5667,69.75,287.28,40,4,2.48,KZ,1684888005
64,bridgewater,44.3835,-64.5155,280.66,76,0,3.09,CA,1684888005
65,vilyuchinsk,52.9306,158.4028,282.3,90,99,2.22,RU,1684888006
66,kapa'a,22.0752,-159.319,297.61,82,100,4.63,US,1684888006
67,grytviken,-54.2811,-36.5092,274.92,84,28,5.01,GS,1684888006
68,tual,-5.6667,132.75,300.82,79,69,10.88,ID,1684888007
69,basseterre,17.2948,-62.7261,300.21,82,40,4.63,KN,1684888007
70,dosso,13.049,3.1937,307.86,36,100,2.36,NE,1684888008
71,ferkessedougou,9.6,-5.2,299.17,73,100,1.17,CI,1684888008
72,alofi,-19.0595,-169.9187,300.09,65,40,3.09,NU,1684888008
73,port saint john's,-31.6229,29.5448,289.26,63,3,2.8,ZA,1684888009
74,ormara,25.2088,64.6357,301.86,87,36,6.0,PK,1684888010
75,labytnangi,66.6572,66.4183,280.54,57,46,1.77,RU,1684888010
76,olonkinbyen,70.9221,-8.7187,273.66,98,100,9.21,SJ,1684888010
77,la ronge,55.1001,-105.2842,286.29,35,75,6.69,CA,1684888011
78,ola,59.5833,151.2833,279.34,96,100,2.93,RU,1684888011
79,hithadhoo,-0.6,73.0833,301.03,75,17,2.5,MV,1684888012
80,saint-joseph,-21.3667,55.6167,296.0,82,62,2.25,RE,1684888012
81,zhangye,38.9342,100.4517,287.5,41,100,3.84,CN,1684888012
82,prince rupert,54.3161,-130.3201,285.08,77,0,8.75,CA,1684888013
83,afaahiti,-17.75,-149.2833,301.08,81,78,5.63,PF,1684888013
84,valdivia,-39.8142,-73.2459,284.2,72,33,5.02,CL,1684887732
85,broome,42.2506,-75.833,292.05,64,61,2.35,US,1684888014
86,fang,19.9169,99.2145,299.27,63,11,0.75,TH,1684888014
87,ocean shores,46.9737,-124.1563,287.4,75,0,4.12,US,1684888015
88,mirai,-21.1953,-42.6142,291.11,91,14,1.61,BR,1684888015
89,mount gambier,-37.8333,140.7667,285.67,74,28,4.64,AU,1684887992
90,puerto baquerizo moreno,-0.9,-89.6,298.7,83,40,3.09,EC,1684888016
91,anadyr,64.75,177.4833,278.15,70,75,6.0,RU,1684888017
92,monahans,31.5943,-102.8926,306.43,24,0,0.89,US,1684888017
93,rongelap,11.1635,166.8941,301.54,72,90,6.85,MH,1684888017
94,san juan colorado,16.4586,-97.9536,303.75,44,45,2.99,MX,1684888018
95,ambikapur,23.1167,83.2,301.73,25,73,1.52,IN,1684888018
96,st. john's,47.5649,-52.7093,275.33,94,75,6.71,CA,1684887956
97,qarauyl,48.9451,79.255,283.2,49,33,4.02,KZ,1684888019
98,champerico,14.3,-91.9167,301.45,68,37,2.72,GT,1684888019
99,avarua,-21.2078,-159.775,299.18,65,20,2.06,CK,1684887822
100,isafjordur,66.0755,-23.124,275.9,96,100,10.63,IS,1684888020
101,bilibino,68.0546,166.4372,282.02,48,68,1.83,RU,1684888020
102,iqaluit,63.7506,-68.5145,265.76,73,75,6.17,CA,1684888021
103,hammerfest,70.6634,23.6821,279.4,93,75,2.06,NO,1684888021
104,thurso,58.5927,-3.5259,283.29,83,90,8.02,GB,1684888022
105,i-n-salah,27.1935,2.4607,298.79,15,40,3.75,DZ,1684888022
106,temerluh,3.4506,102.4176,299.81,96,16,0.31,MY,1684887970
107,ujae,8.9322,165.7642,301.56,78,98,6.96,MH,1684888023
108,lazaro cardenas,17.9583,-102.2,302.55,65,25,4.46,MX,1684888023
109,piracicaba,-22.7253,-47.6492,289.78,69,0,1.43,BR,1684888024
110,selfoss,63.9331,-20.9971,277.62,67,97,15.71,IS,1684888024
111,fortuna,40.5982,-124.1573,287.08,72,0,9.26,US,1684888025
112,kaa-khem,51.6833,94.7333,284.48,47,12,3.64,RU,1684888025
113,kodiak,57.79,-152.4072,279.88,93,100,9.26,US,1684888026
114,surubim,-7.8331,-35.7547,294.59,96,39,2.72,BR,1684888026
115,valparaiso,-33.0393,-71.6273,289.82,65,80,0.61,CL,1684888027
116,esil,51.9556,66.4042,287.77,56,55,2.27,KZ,1684888027
117,barra de santo antonio,-9.4047,-35.5072,298.75,82,3,4.2,BR,1684888028
118,cabo san lucas,22.8909,-109.9124,305.35,16,40,4.12,MX,1684888028
119,krapivinskiy,54.9992,86.8133,283.75,66,96,1.67,RU,1684888029
120,atafu village,-8.5421,-172.5159,301.34,73,97,2.94,TK,1684888029
121,naze,28.3667,129.4833,295.66,63,4,6.24,JP,1684888030
122,kirakira,-10.4544,161.9205,302.6,73,48,2.45,SB,1684888030
123,vernon,50.2581,-119.2691,289.05,65,99,0.89,CA,1684887780
124,la tijera,19.9,-104.4,298.5,42,75,3.97,MX,1684888031
125,nadi,-17.8,177.4167,300.15,74,75,5.14,FJ,1684887975
126,parabel',58.6978,81.4825,281.56,54,97,4.66,RU,1684888032
127,phanat nikhom,13.4458,101.1844,303.01,73,100,2.6,TH,1684888032
128,arenapolis,-14.4503,-56.8461,297.18,59,30,0.98,BR,1684888033
129,barra,-11.0894,-43.1417,298.89,62,21,4.76,BR,1684888033
130,kerman,30.2832,57.0788,288.07,47,0,2.06,IR,1684888034
131,vorgashor,67.5833,63.95,279.86,70,31,2.63,RU,1684888034
132,karasburg,-28.0167,18.75,289.54,16,78,3.22,NA,1684888034
133,nuku'alofa,-21.1333,-175.2,298.34,78,75,2.57,TO,1684888035
134,geraldton,-28.7667,114.6,290.38,94,75,2.06,AU,1684888035
135,badger,64.8,-147.5333,292.63,30,0,0.89,US,1684888036
136,margaret river,-33.95,115.0667,287.33,64,91,7.52,AU,1684888036
137,georgetown,5.4112,100.3354,301.18,79,20,1.03,MY,1684888037
138,salinopolis,-0.6136,-47.3561,299.26,87,79,3.5,BR,1684888037
139,goure,13.9835,10.2704,303.95,28,28,1.73,NE,1684888038
140,porto novo,6.4965,2.6036,301.05,86,99,2.24,BJ,1684888038
141,quellon,-43.1167,-73.6167,282.27,86,78,15.09,CL,1684888038
142,stanley,54.868,-1.6985,283.0,82,0,3.6,GB,1684887783
143,kaka,37.3482,59.6143,300.28,32,6,2.24,TM,1684888039
144,puerto aysen,-45.4,-72.7,277.32,99,95,1.68,CL,1684888040
145,ta`u,-14.2336,-169.5144,300.48,81,76,4.32,AS,1684888040
146,beinamar,8.6698,15.3813,300.12,64,95,1.76,TD,1684888041
147,vila franca do campo,37.7167,-25.4333,289.38,85,56,3.31,PT,1684888041
148,la passe,45.5549,-0.8967,288.28,79,12,7.79,FR,1684888041
149,sungai penuh,-2.0833,101.3833,291.57,95,55,0.79,ID,1684888042
150,nishinoomote,30.7333,131.0,295.46,49,20,4.12,JP,1684888042
151,aasiaat,68.7098,-52.8699,270.83,92,100,6.7,GL,1684887746
152,vung tau,10.346,107.0843,301.81,77,100,4.45,VN,1684888043
153,aioun,16.6614,-9.6149,306.2,25,95,4.0,MR,1684888044
154,dhidhdhoo,6.8833,73.1,301.91,74,13,3.15,MV,1684888044
155,kenai,60.5544,-151.2583,287.18,44,100,7.2,US,1684888045
156,mount pearl,47.5166,-52.7813,274.88,94,75,5.66,CA,1684888045
157,wamba,8.9333,8.6,297.71,86,89,1.26,NG,1684888046
158,tshabong,-26.05,22.45,289.48,20,1,1.39,BW,1684888046
159,visakhapatnam,17.69,83.2093,301.09,100,40,1.03,IN,1684888046
160,mammoth lakes,37.6485,-118.9721,288.78,40,100,7.72,US,1684888047
161,tazovsky,67.4667,78.7,273.59,86,64,2.83,RU,1684887807
162,leua,48.2156,18.6071,287.6,95,100,1.53,SK,1684888048
163,hasaki,35.7333,140.8333,290.37,53,25,7.86,JP,1684888048
164,el kala,36.8956,8.4433,291.38,79,77,3.59,DZ,1684888049
165,north platte,41.1239,-100.7654,296.83,56,40,4.63,US,1684888049
166,tindouf,27.6711,-8.1474,289.4,59,0,11.32,DZ,1684888049
167,manaure,11.7751,-72.4445,301.32,76,9,5.27,CO,1684888050
168,constantia,44.1833,28.65,286.53,86,17,3.1,RO,1684888050
169,college,64.8569,-147.8028,291.95,30,20,0.0,US,1684887984
170,port alfred,-33.5906,26.891,289.54,53,17,2.17,ZA,1684888051
171,honaz,37.7573,29.27,288.08,94,100,0.63,TR,1684888052
172,grand baie,-20.0182,57.5802,295.07,81,7,2.24,MU,1684888052
173,enewetak,11.3474,162.3373,301.62,70,99,6.45,MH,1684888053
174,sibut,5.718,19.0739,296.78,75,73,1.39,CF,1684888053
175,akjoujt,19.6969,-14.4164,301.11,17,96,3.7,MR,1684888054
176,tutong,4.8,114.65,299.83,88,100,2.7,BN,1684888054
177,puerto ayora,-0.7393,-90.3518,299.01,92,96,1.34,EC,1684888054
178,touros,-5.1989,-35.4608,299.24,84,42,5.69,BR,1684888055
179,nova sintra,14.8667,-24.7167,293.58,80,52,6.65,CV,1684888055
180,masuguru,-11.3667,38.4167,295.36,84,75,1.7,TZ,1684888056
181,sao felix do xingu,-6.6447,-51.995,297.67,83,99,1.69,BR,1684888056
182,belmonte,-15.8631,-38.8828,296.7,77,79,2.7,BR,1684888056
183,mili,6.0815,171.735,301.2,77,64,4.9,MH,1684888057
184,elk city,35.412,-99.4043,296.49,73,75,7.72,US,1684888057
185,thompson,55.7435,-97.8558,286.24,38,75,3.09,CA,1684888058
186,uliastay,47.7417,96.8444,279.05,68,97,1.94,MN,1684887759
187,sola,-13.8833,167.55,300.28,77,77,10.39,VU,1684888058
188,ulladulla,-35.35,150.4667,287.17,47,65,1.5,AU,1684888059
189,sterling,39.0062,-77.4286,292.05,54,75,3.6,US,1684888059
190,garcia,25.8167,-100.5833,301.53,67,39,6.66,MX,1684888060
191,west island,-12.1568,96.8225,300.14,83,20,2.06,CC,1684888060
192,angostura,25.3667,-108.1833,305.9,23,78,5.32,MX,1684888060
193,mastic beach,40.7668,-72.8521,286.14,64,0,0.45,US,1684888061
194,salalah,17.0151,54.0924,302.2,84,75,1.54,OM,1684888061
195,wad az zaki,14.4619,32.2065,304.85,10,0,2.76,SD,1684888062
196,aldan,58.6031,125.3894,279.74,57,98,1.91,RU,1684888062
197,san ignacio de velasco,-16.3667,-60.95,295.37,88,17,0.98,BO,1684888063
198,kimbe,-5.5502,150.1429,303.73,64,99,4.3,PG,1684888063
199,utrik,11.2278,169.8474,301.17,77,80,7.64,MH,1684888063
200,iida,35.5197,137.8207,290.39,50,8,4.02,JP,1684888064
201,taoudenni,22.6783,-3.9836,302.44,18,98,4.94,ML,1684888065
202,soure,-0.7167,-48.5233,299.0,88,92,3.47,BR,1684888065
203,manitowoc,44.0667,-87.8001,291.73,60,0,3.6,US,1684888065
204,tres isletas,-26.3407,-60.4321,297.83,75,0,3.93,AR,1684888066
205,acapulco de juarez,16.8634,-99.8901,304.05,58,40,3.6,MX,1684888003
206,bhopal,23.2667,77.4,299.28,41,11,2.57,IN,1684888066
207,ende,-8.8432,121.6623,298.78,78,100,0.67,ID,1684888067
208,essenbach,48.6167,12.2167,285.88,91,78,3.02,DE,1684888067
209,ust-nera,64.5667,143.2,275.73,97,100,3.13,RU,1684888068
210,kyshtovka,56.555,76.6271,284.47,60,31,2.83,RU,1684888068
211,menongue,-14.6585,17.691,287.88,40,67,2.11,AO,1684888068
212,puerto lopez,4.0845,-72.956,298.25,87,75,0.48,CO,1684888069
213,vrangel',42.7297,133.0839,286.49,67,6,2.81,RU,1684888070
214,mpika,-11.8343,31.4529,288.85,88,46,3.26,ZM,1684888070
215,yaritagua,10.08,-69.1261,299.74,74,28,1.5,VE,1684888070
216,bopolu,7.0667,-10.4875,297.22,95,99,0.36,LR,1684888071
217,grand-bassam,5.2118,-3.7388,302.13,88,95,2.48,CI,1684888071
218,newman,37.3138,-121.0208,298.33,34,42,4.92,US,1684887808
219,gondar,12.6,37.4667,292.79,23,59,1.72,ET,1684888072
220,mandal,25.45,74.5667,300.81,52,30,3.69,IN,1684888072
221,las cruces,32.3123,-106.7783,305.95,11,0,4.63,US,1684888073
222,sona,45.4388,10.8255,290.87,76,0,1.03,IT,1684888073
223,howard springs,-12.497,131.047,298.26,66,2,4.93,AU,1684888074
224,teknaf,20.8624,92.3058,300.35,85,6,1.59,BD,1684888074
225,ishigaki,24.3448,124.1572,298.22,65,20,2.57,JP,1684888074
226,san antonio de pale,-1.4014,5.6325,299.49,80,68,3.15,GQ,1684888075
227,sittwe,20.15,92.9,301.49,79,2,2.54,MM,1684888075
228,newnham,-41.3833,147.1333,287.65,87,75,8.23,AU,1684888076
229,keflavik,64.0049,-22.5624,278.39,65,75,19.55,IS,1684888076
230,odienne,9.51,-7.5692,297.54,78,100,0.85,CI,1684888076
231,shama junction,5.0087,-1.6301,299.85,87,66,2.5,GH,1684888077
232,botucatu,-22.8858,-48.445,287.61,74,0,1.5,BR,1684888077
233,mokhsogollokh,61.4681,128.9203,282.4,33,85,2.16,RU,1684888078
234,colonia,50.9333,6.95,281.14,78,0,3.09,DE,1684888003
235,belaya kholunitsa,58.84,50.8528,287.09,69,86,2.35,RU,1684888078
236,fisterra,42.9049,-9.2629,290.52,81,4,9.6,ES,1684888079
237,haiku-pauwela,20.9219,-156.3051,302.08,45,20,12.86,US,1684888079
238,key biscayne,25.6937,-80.1628,300.37,80,75,2.57,US,1684888079
239,kaifeng,34.7911,114.3483,293.26,54,71,5.54,CN,1684888080
240,tolanaro,-25.0319,46.9987,289.19,94,20,2.06,MG,1684888080
241,celestun,20.8667,-90.4,300.89,68,24,5.69,MX,1684888081
242,lihue,21.9789,-159.3672,297.18,84,100,4.63,US,1684887919
243,piacabucu,-10.4056,-36.4344,298.29,88,10,3.64,BR,1684888081
244,fale old settlement,-9.3852,-171.2468,301.34,73,67,3.08,TK,1684888082
245,makokou,0.5738,12.8642,295.01,96,97,0.56,GA,1684888082
246,skrunda,56.6833,22.0167,285.78,79,95,1.68,LV,1684888083
247,susuman,62.7833,148.1667,276.14,99,100,1.16,RU,1684888083
248,cosio valtellino,46.1351,9.5516,289.02,79,95,1.99,IT,1684888084
249,la'ie,21.6477,-157.9253,301.52,70,23,7.65,US,1684888084
250,amos,48.5669,-78.1162,279.12,95,100,5.55,CA,1684888084
251,new plymouth,-39.0667,174.0833,290.13,100,30,0.89,NZ,1684888085
252,cumaru,-8.0061,-35.6972,294.79,94,30,2.62,BR,1684888085
253,zelenchukskaya,43.858,41.5894,284.71,83,87,3.19,RU,1684888086
254,hermanus,-34.4187,19.2345,283.6,74,82,1.09,ZA,1684888086
255,grantsville,40.5999,-112.4644,294.98,38,75,4.63,US,1684888086
256,nemuro,43.3236,145.575,277.97,84,100,8.41,JP,1684888087
257,mochudi,-24.4167,26.15,286.39,80,0,1.69,BW,1684888087
258,itoman,26.1247,127.6694,297.06,59,20,3.6,JP,1684888088
259,eyl,7.9803,49.8164,300.2,73,92,4.61,SO,1684888088
260,tazacorte,28.629,-17.9293,289.34,86,75,2.68,ES,1684888089
261,podporozh'ye,60.9112,34.1706,284.45,94,74,0.98,RU,1684887974
262,al muwayh,22.4333,41.7583,299.21,40,100,4.85,SA,1684888089
263,shingu,33.7333,135.9833,292.2,43,0,1.93,JP,1684888090
264,shimoda,34.6667,138.95,293.21,67,77,4.21,JP,1684888090
265,kapuskasing,49.4169,-82.4331,280.15,87,100,5.14,CA,1684887935
266,chibougamau,49.9168,-74.3659,281.94,93,100,7.2,CA,1684888091
267,al jawf,29.5,38.75,297.05,36,27,1.97,SA,1684888092
268,san luis de la loma,17.2706,-100.8939,302.84,63,45,3.45,MX,1684888092
269,zaragoza,41.6561,-0.8773,288.54,76,20,3.6,ES,1684888036
270,faya-largeau,17.9257,19.1043,307.69,12,34,3.9,TD,1684888093
271,sour el ghozlane,36.1477,3.6912,286.38,85,72,2.83,DZ,1684888094
272,remire-montjoly,4.9167,-52.2667,298.17,94,40,0.0,GF,1684888094
273,kourou,5.1552,-52.6478,298.18,91,99,3.0,GF,1684888094
274,bhainsdehi,21.6467,77.6325,301.0,27,30,3.31,IN,1684888095
275,labrador city,52.9463,-66.9114,281.1,81,100,5.14,CA,1684888096
276,luganville,-15.5333,167.1667,298.69,81,97,5.95,VU,1684888097
277,mahanoro,-19.9,48.8,293.65,92,88,3.47,MG,1684888097
278,sirre,8.3167,39.4833,290.35,69,18,1.87,ET,1684888097
279,mareeba,-17.0,145.4333,293.93,91,87,3.57,AU,1684888098
280,jinghong,21.991,100.7341,298.71,53,2,0.2,CN,1684888098
281,taos,36.4072,-105.5731,287.69,62,100,6.17,US,1684888099
282,gebeit,21.0667,36.3167,299.27,58,56,2.07,SD,1684888099
283,port lincoln,-34.7333,135.8667,288.74,59,64,8.2,AU,1684888100
284,manadhoo,5.7667,73.3833,301.6,71,0,1.99,MV,1684888100
285,kerikeri,-35.2268,173.9474,290.45,69,1,4.54,NZ,1684888100
286,ha'il,27.5219,41.6907,300.16,22,20,4.12,SA,1684888101
287,tofol,5.3248,163.0078,303.03,79,75,7.2,FM,1684888101
288,kati,12.7441,-8.0726,300.82,37,100,1.76,ML,1684888102
289,troitsk,54.0979,61.5773,288.45,41,12,2.02,RU,1684888102
290,tobelo,1.7284,128.0095,301.88,71,41,1.89,ID,1684888103
